M D Y: 11 21 2025
10:20:49:972594 Gateway 0, reading I: USB: Baudrate detected: 115200
10:20:50:079634 Gateway 1, reading I: USB: Baudrate detected: 115200
10:20:50:376441 Gateway 0, reading I: PPS DETECTED
10:20:50:382945 Gateway 1, reading I: PPS DETECTED
10:20:51:287902 Gateway 1, reading I: PPS DETECTED
10:20:51:381500 Gateway 0, reading I: PPS DETECTED
10:20:51:885103 Gateway 0, sending b'HYP\xff\xff\xff\xff\xff\xff\t\xbb\xff\xff'
10:20:51:891130 Gateway 1, sending b'HYP\xff\xff\xff\xff\xff\xff\t\xbb\xff\xff'
10:20:51:987268 Gateway 0, reading I: Start BLE Scanning
10:20:51:988249 Gateway 0, reading I: BLE: Scanning Started!
10:20:51:994256 Gateway 1, reading I: Start BLE Scanning
10:20:51:995256 Gateway 1, reading I: BLE: Scanning Started!
10:20:52:290782 Gateway 0, reading I: PPS DETECTED
10:20:52:297782 Gateway 1, reading I: PPS DETECTED
10:20:53:296332 Gateway 0, reading I: PPS DETECTED
10:20:53:303323 Gateway 1, reading I: PPS DETECTED
10:20:54:303390 Gateway 0, reading I: PPS DETECTED
10:20:54:310366 Gateway 1, reading I: PPS DETECTED
10:20:54:413391 Gateway 1, reading I: BLE: Connected: C4:C2:15:1D:AE:B3 (random)
10:20:54:505417 Gateway 0, reading I: BLE: Connected: C4:C2:15:1D:AE:B3 (random)
10:20:54:715491 Gateway 1, reading W: The service could not be found during the discovery
10:20:54:716496 Gateway 1, reading W: BLE: Disconnected: C4:C2:15:1D:AE:B3 (random) (reason 62)
10:20:55:310613 Gateway 0, reading I: PPS DETECTED
10:20:55:333618 Gateway 1, reading I: PPS DETECTED
10:20:55:611620 Gateway 0, reading I: BLE: Discovery Complete!
10:20:56:314454 Gateway 0, reading I: PPS DETECTED
10:20:56:338470 Gateway 1, reading I: PPS DETECTED
10:20:57:323477 Gateway 0, reading I: PPS DETECTED
10:20:57:346477 Gateway 1, reading I: PPS DETECTED
10:20:58:331369 Gateway 0, reading I: PPS DETECTED
10:20:58:354385 Gateway 1, reading I: PPS DETECTED
10:20:59:338783 Gateway 0, reading I: PPS DETECTED
10:20:59:361847 Gateway 1, reading I: PPS DETECTED
10:21:00:348873 Gateway 0, reading I: PPS DETECTED
10:21:00:371875 Gateway 1, reading I: PPS DETECTED
10:21:01:048104 Gateway 0, sending b'NIBR\xc4\xc2\x15\x1d\xae\xb3'
10:21:01:055104 Gateway 0, reading I: READ FROM NIB
10:21:01:357255 Gateway 0, reading I: PPS DETECTED
10:21:01:380256 Gateway 1, reading I: PPS DETECTED
10:21:01:559950 Gateway 0, reading I: [C4:C2:15:1D:AE:B3 (random)] Sensor NIB read:
10:21:01:560951 Gateway 0, reading 52455455524e444952323346494c322d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
10:21:02:288765 Gateway 1, reading I: PPS DETECTED
10:21:02:355332 Gateway 0, reading I: PPS DETECTED
10:21:03:295523 Gateway 1, reading I: PPS DETECTED
10:21:03:360792 Gateway 0, reading I: PPS DETECTED
10:21:04:265306 Gateway 0, sending b'NIBWA0000400000000000000000000000000'
10:21:04:267305 Gateway 1, sending b'NIBWA0000400000000000000000000000000'
10:21:04:304333 Gateway 1, reading I: PPS DETECTED
10:21:04:304333 Gateway 1, reading I: Write NIB - PPS
10:21:04:368335 Gateway 0, reading I: PPS DETECTED
