M D Y: 10 03 2025
10:44:54 Gateway 0, reading I: PPS DETECTED
10:44:55 Gateway 0, reading I: PPS DETECTED
10:44:55 Gateway 0, sending b'HYP\xff\xff\xff\xff\xff\xff\t\xbb\xff\xff'
10:44:55 Gateway 0, reading I: Start BLE Scanning
10:44:55 Gateway 0, reading I: BLE: Scanning Started!
10:44:56 Gateway 0, reading I: PPS DETECTED
10:44:56 Gateway 0, reading I: BLE: Connected: E2:2A:19:8D:DA:BB (random)
10:44:57 Gateway 0, reading I: PPS DETECTED
10:44:58 Gateway 0, reading I: PPS DETECTED
10:44:58 Gateway 0, reading I: BLE: Discovery Complete!
10:44:59 Gateway 0, reading I: PPS DETECTED
10:44:59 Gateway 0, reading I: BLE: Connected: F0:E9:BA:56:C7:82 (random)
10:45:00 Gateway 0, reading I: PPS DETECTED
10:45:01 Gateway 0, reading I: PPS DETECTED
10:45:01 Gateway 0, reading I: BLE: Discovery Complete!
10:45:02 Gateway 0, reading I: PPS DETECTED
10:45:02 Gateway 0, reading I: BLE: Connected: CD:61:D3:52:14:02 (random)
10:45:03 Gateway 0, reading I: PPS DETECTED
10:45:04 Gateway 0, reading I: PPS DETECTED
10:45:05 Gateway 0, reading I: PPS DETECTED
10:45:05 Gateway 0, reading I: BLE: Discovery Complete!
10:45:06 Gateway 0, reading I: PPS DETECTED
10:45:07 Gateway 0, reading I: PPS DETECTED
10:45:07 Gateway 0, reading I: BLE: Connected: D6:64:98:38:C4:55 (random)
10:45:08 Gateway 0, reading I: PPS DETECTED
10:45:09 Gateway 0, reading I: PPS DETECTED
10:45:09 Gateway 0, reading I: BLE: Discovery Complete!
10:45:10 Gateway 0, reading I: PPS DETECTED
10:45:11 Gateway 0, reading I: PPS DETECTED
10:45:12 Gateway 0, reading I: PPS DETECTED
10:45:13 Gateway 0, reading I: PPS DETECTED
10:45:14 Gateway 0, reading I: PPS DETECTED
10:45:15 Gateway 0, reading I: PPS DETECTED
10:45:16 Gateway 0, reading I: PPS DETECTED
10:45:17 Gateway 0, reading I: PPS DETECTED
10:45:18 Gateway 0, reading I: PPS DETECTED
10:45:19 Gateway 0, reading I: PPS DETECTED
10:45:20 Gateway 0, reading I: PPS DETECTED
10:45:21 Gateway 0, reading I: PPS DETECTED
10:45:22 Gateway 0, reading I: PPS DETECTED
10:45:23 Gateway 0, reading I: PPS DETECTED
10:45:24 Gateway 0, reading I: PPS DETECTED
10:45:25 Gateway 0, reading I: PPS DETECTED
10:45:26 Gateway 0, reading I: PPS DETECTED
10:45:26 Gateway 0, reading I: BLE: Connected: E1:D7:29:7F:A1:4C (random)
10:45:27 Gateway 0, reading I: PPS DETECTED
10:45:28 Gateway 0, reading I: PPS DETECTED
10:45:28 Gateway 0, reading I: BLE: Discovery Complete!
10:45:29 Gateway 0, reading I: PPS DETECTED
10:45:30 Gateway 0, reading I: PPS DETECTED
10:45:30 Gateway 0, sending b'NIBR\xe2*\x19\x8d\xda\xbb'
10:45:30 Gateway 0, reading I: READ FROM NIB
10:45:31 Gateway 0, reading I: PPS DETECTED
10:45:31 Gateway 0, sending b'NIBR\xf0\xe9\xbaV\xc7\x82'
10:45:31 Gateway 0, reading I: READ FROM NIB
10:45:31 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
10:45:31 Gateway 0, reading I: READ FROM NIB
10:45:32 Gateway 0, reading I: [E2:2A:19:8D:DA:BB (random)] Sensor NIB read:
10:45:32 Gateway 0, reading 52454144592d2d4e4f4445313235212121212121212121212121212121212121
10:45:32 Gateway 0, reading I: PPS DETECTED
10:45:32 Gateway 0, sending b'NIBR\xd6d\x988\xc4U'
10:45:32 Gateway 0, reading I: READ FROM NIB
10:45:32 Gateway 0, reading I: [F0:E9:BA:56:C7:82 (random)] Sensor NIB read:
10:45:32 Gateway 0, reading 52454144592d2d4e4f4445313237212121212121212121212121212121212121
10:45:32 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
10:45:32 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
10:45:32 Gateway 0, reading 00000000000000000000000000000000
10:45:32 Gateway 0, reading I: READ FROM NIB
10:45:33 Gateway 0, reading I: PPS DETECTED
10:45:33 Gateway 0, reading I: [D6:64:98:38:C4:55 (random)] Sensor NIB read:
10:45:33 Gateway 0, reading 52454144592d2d4e4f4445313236212121212121212121212121212121212121
10:45:33 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
10:45:33 Gateway 0, reading 00000000000000000000000000000000
